ID,Name,a,e,i,H,H_std,D,D_std,dadt,dadt_std,P,P_std,Q,Ref,SNR
NaN,2009OS5,1.144982355,0.097637143,1.693111685,24.5,NaN,0.042634838,NaN,-0.013102288,0.002243817,NaN,NaN,NaN,D,5.839285714
162117,1998SD15,0.932581348,0.34483634,26.79716313,19,NaN,NaN,NaN,-0.000929,0.00016,7.33,NaN,7,A,5.80625
0,2005EY169,1.308067524,0.233098655,20.89051625,22.2,NaN,NaN,NaN,-0.00538,0.00093,NaN,NaN,NaN,B,5.784946237
10302,1989ML,1.272206355,0.136402908,4.378247099,19.4,NaN,NaN,NaN,0.002876,0.000502,19.164,NaN,6,B,5.729083665
216985,2000QK130,1.180595821,0.261810087,4.722223299,21.1,NaN,NaN,NaN,0.004461,0.00078,NaN,NaN,NaN,A,5.719230769
0,2000PN8,1.252208036,0.217079886,22.38684491,22.1,NaN,NaN,NaN,0.004928,0.000887,NaN,NaN,NaN,B,5.555806088
85953,1999FK21,0.738741391,0.703071346,12.604978,18.1,NaN,0.59,NaN,-0.001164,0.00021,28.08,NaN,5,A,5.542857143
363027,1998ST27,0.819367514,0.529985078,21.05470616,19.5,NaN,0.578,0.228,0.001369998,0.000254428,3,NaN,5,D,5.384615387
455176,1999VF22,1.312545949,0.738643584,3.908683548,20.7,NaN,NaN,NaN,-0.003768,0.0007,NaN,NaN,NaN,A,5.382857143
506590,2005XB1,1.130933313,0.418805011,8.70873619,22,NaN,0.099,0.012,0.004488,0.000849,NaN,NaN,NaN,B,5.286219081
10302,1989ML,1.272206355,0.136402908,4.378247099,19.4,NaN,NaN,NaN,0.001949,0.00037,19.164,NaN,6,A,5.267567568
162004,1991VE,0.890821004,0.664650283,7.218521189,18.2,NaN,NaN,NaN,0.001836,0.00035,13.4895,NaN,8,A,5.245714286
216523,2001HY7,0.913852028,0.412094837,5.208499317,20.6,NaN,NaN,NaN,0.003133,0.000601,NaN,NaN,NaN,B,5.212978369
162361,2000AF6,0.877759951,0.411347144,2.695305247,20.2,NaN,NaN,NaN,0.002189,0.00042,3.4558,NaN,8,A,5.211904762
350462,1998KG3,1.160326679,0.118226463,5.505183934,22.1,NaN,NaN,NaN,-0.002452,0.000471,13.335,NaN,7,B,5.205944798
363505,2003UC20,0.781215644,0.33685236,3.804202883,18.4,NaN,1.876,0.037,-0.000405,7.80E-05,29.6,NaN,6,B,5.192307692
66400,1999LT7,0.855250908,0.572553922,9.065620769,19.1,NaN,0.411,0.076,-0.002944,0.000569,NaN,NaN,NaN,B,5.173989455
99907,1989VA,0.728366431,0.594710787,28.79845982,17.9,NaN,1.4,NaN,0.001271,0.000246,2.5246,NaN,8,B,5.166666667
377097,2002WQ4,1.959598915,0.555170046,3.940748953,19.6,NaN,NaN,NaN,-0.001037,0.000202,36,NaN,3,B,5.133663366
216523,2001HY7,0.913852028,0.412094837,5.208499317,20.6,NaN,NaN,NaN,0.003075,0.0006,NaN,NaN,NaN,A,5.125
NaN,2008WT62,0.884173847,0.353679476,18.20586912,23.1,NaN,0.08123901,NaN,-0.016053382,0.003148734,NaN,NaN,NaN,D,5.098360657
0,2000CK59,1.479071438,0.312603008,5.689662886,24.1,NaN,NaN,NaN,-0.007448,0.001462,NaN,NaN,NaN,B,5.094391245
506590,2005XB1,1.130933313,0.418805011,8.70873619,22,NaN,0.099,0.012,0.004663,0.00093,NaN,NaN,NaN,A,5.013978495
NaN,2013BA74,1.754966524,0.444125188,5.225293561,25.5,NaN,0.026900764,NaN,0.061894808,0.012418894,NaN,NaN,NaN,D,4.983922828
29075,1950DA,1.698568963,0.507826546,12.1674955,17.1,NaN,2,0.2,-0.000265,5.50E-05,2.1216,NaN,8,B,4.818181818
99907,1989VA,0.728366431,0.594710787,28.79845982,17.9,NaN,1.4,NaN,0.001201,0.00025,2.5246,NaN,8,A,4.804
NaN,2003FY6,0.730014611,0.581973192,6.606160166,22.4,NaN,0.112141051,NaN,-0.004772473,0.001007105,NaN,NaN,NaN,D,4.738805971
162117,1998SD15,0.932581348,0.34483634,26.79716313,19,NaN,NaN,NaN,-0.000776,0.000164,7.33,NaN,7,B,4.731707317
138175,2000EE104,1.004212011,0.29314637,5.238250455,20.4,NaN,NaN,NaN,-0.003384,0.00072,NaN,NaN,NaN,A,4.7
0,2001BB16,0.855331317,0.172203492,2.028426961,23.2,NaN,NaN,NaN,0.016359,0.003496,NaN,NaN,NaN,B,4.679347826
399308,1993GD,1.102428706,0.238147763,15.46209034,20.7,NaN,NaN,NaN,0.004464,0.00096,NaN,NaN,NaN,A,4.65
455184,2000ED14,0.83498733,0.566655017,13.77819027,20.8,NaN,NaN,NaN,0.004230388,0.000910423,NaN,NaN,NaN,D,4.646616542
481442,2006WO3,0.799703836,0.447463423,21.21301002,21.6,NaN,NaN,NaN,-0.004173,0.0009,NaN,NaN,NaN,A,4.636666667
363599,2004FG11,1.587054923,0.723848378,3.127656088,21,NaN,0.152,0.003,-0.003466,0.00075,7.021,NaN,5,A,4.621333333
138852,2000WN10,1.001184416,0.298294172,21.50664114,20.2,NaN,NaN,NaN,0.00168,0.000364,4.4622,NaN,8,B,4.615384615
455176,1999VF22,1.312545949,0.738643584,3.908683548,20.7,NaN,NaN,NaN,-0.005646,0.001241,NaN,NaN,NaN,B,4.549556809
399308,1993GD,1.102428706,0.238147763,15.46209034,20.7,NaN,NaN,NaN,0.004394,0.000975,NaN,NaN,NaN,B,4.506666667
474158,1999FA,1.078248321,0.132787949,12.02841629,20.7,NaN,NaN,NaN,-0.004123,0.00092,10.092,NaN,8,A,4.481521739
7336,Saunders,2.304880274,0.481705072,7.197246574,18.8,NaN,NaN,NaN,0.001429,0.00032,4.307,NaN,8,B,4.465625
306383,1993VD,0.875815048,0.551488723,2.06764285,21.5,NaN,NaN,NaN,-0.002218,0.0005,0.94345,NaN,8,A,4.436
1685,Toro,1.367586472,0.43583711,9.383132279,14.3,NaN,3.4,NaN,-0.000168,3.80E-05,10.1995,NaN,8,B,4.421052632
138852,2000WN10,1.001184416,0.298294172,21.50664114,20.2,NaN,NaN,NaN,0.001625,0.00037,4.4622,NaN,8,A,4.391891892
494710,2005MO13,0.863433019,0.410723015,6.316177434,20.8,NaN,NaN,NaN,-0.003106,0.00071,NaN,NaN,NaN,A,4.374647887
138404,2000HA24,1.138952829,0.318673,2.164961306,19.1,NaN,NaN,NaN,0.001219,0.00028,3.9077,NaN,8,A,4.353571429
410777,2009FD,1.163844623,0.493030735,3.127749306,22.1,NaN,0.472,NaN,0.003874335,0.000894477,4,NaN,5,D,4.331395349
85774,1998UT18,1.402899507,0.32911839,13.58886607,19.1,NaN,0.939,0.007,-0.000267,6.20E-05,55,NaN,5,B,4.306451613
136793,1997AQ18,1.147073296,0.465339012,17.37447789,18.3,NaN,NaN,NaN,-0.002279,0.00053,NaN,NaN,NaN,A,4.3
154590,2003MA3,1.10534704,0.402204789,1.412937838,21.7,NaN,0.086,0.002,-0.004644,0.00108,NaN,NaN,NaN,A,4.3
297418,2000SP43,0.811517941,0.466792942,10.34568192,18.6,NaN,0.407,0.019,-0.001502,0.00035,6.314,NaN,8,A,4.291428571
4034,Vishnu,1.059782692,0.444128155,11.17029425,18.4,NaN,0.42,NaN,-0.003403,0.000795,44.4,NaN,7,B,4.280503145
NaN,2016CO246,0.997373041,0.12595792,6.306421371,25.8,NaN,0.023429586,NaN,-0.031886865,0.007474834,NaN,NaN,NaN,D,4.265895953
310442,2000CH59,0.86298001,0.423289416,3.258383994,19.9,NaN,NaN,NaN,0.002904,0.000682,6.0542,NaN,6,B,4.258064516
310442,2000CH59,0.86298001,0.423289416,3.258383994,19.9,NaN,NaN,NaN,0.002882,0.00068,6.0542,NaN,6,A,4.238235294
2100,Ra-Shalom,0.83204761,0.436542644,15.75298265,16.3,NaN,2.3,0.2,-0.000267,6.30E-05,19.797,NaN,8,B,4.238095238
523605,2004RX10,0.91984733,0.351295217,5.956728498,21.3,NaN,NaN,NaN,-0.002963,0.0007,NaN,NaN,NaN,A,4.232857143
