Number,Name,a,e,i,H,H_std,D,D_std,P,P_std,P (LCDB),l1,b1,l2,b2,l3,b3,l4,b4,Mag(min),Mag(max),u,u_sigma,g,g_sigma,r,r_sigma,i,i_sigma,z,z_sigma,dadt (papers),dadt_std (papers),snr_papers,dadt (JPL),dadt_sigma (JPL),snr_jpl
6489,Golevka,2.502473956,0.605296547,2.27648076,19.2,nan,0.53,0.03,6.026,nan,nan,208.0,-47.0,nan,nan,nan,nan,nan,nan,0.28,1.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0005099999999999999,7.099999999999999e-05,7.18,-0.000525,6.3e-05,8.39
468468,2004KH17,0.712106568,0.498312189,22.12359882,21.9,nan,0.197,0.011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004379999999999999,0.00053,8.26,-0.004467,0.00057,7.83
310842,2003AK18,0.876828106,0.384152889,7.403322491,19.7,nan,nan,nan,5.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001829,0.00059,3.1,-0.002085,0.000253,8.25
3200,Phaethon,1.271367884,0.889831121,22.25951171,14.3,nan,6.25,0.15,3.604,nan,nan,308.0,-52.0,322.0,-40.0,nan,nan,nan,nan,0.05,0.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000901,0.00028,3.22,-0.001005,0.000123,8.19
613862,2007UY1,0.950704281,0.175756505,1.017352687,23.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.007952,0.000975,8.15
162004,1991VE,0.890821004,0.664650283,7.218521189,18.2,nan,nan,nan,13.49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.08,1.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002173,0.00027,8.05,0.001893,0.000282,6.71
480820,1998VF32,0.850809722,0.443844809,23.744588217,20.84,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001564,0.000195,8.03
NaN,1996AE2,1.367444118,0.256567585,37.36483962,20.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002161,0.000273,7.91
3361,Orpheus,1.209662179,0.322751829,2.685064208,19.03,nan,0.3,nan,3.533,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17,0.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000788,0.00011599999999999999,6.79,0.000812,0.000104,7.83
481442,2006WO3,0.799703836,0.447463423,21.21301002,21.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.004173,0.0009,4.64,-0.003493,0.000448,7.8
